Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
9/25/14,walking,walking,2014-09-25T06:31:15-07:00,2014-09-25T06:31:56-07:00,41,0.021,65,0
9/25/14,walking,walking,2014-09-25T07:30:08-07:00,2014-09-25T07:30:21-07:00,13,0.009,29,0
9/25/14,walking,walking,2014-09-25T08:20:43-07:00,2014-09-25T08:20:54-07:00,11,0.005,16,0
9/25/14,transport,transport,2014-09-25T09:00:55-07:00,2014-09-25T09:05:40-07:00,285,1.622,0,0
9/25/14,walking,walking,2014-09-25T09:05:40-07:00,2014-09-25T09:09:06-07:00,206,0.089,286,0
9/25/14,walking,walking,2014-09-25T09:16:09-07:00,2014-09-25T09:17:03-07:00,54,0.017,54,0
9/25/14,walking,walking,2014-09-25T12:50:52-07:00,2014-09-25T12:52:36-07:00,104,0.052,168,0
9/25/14,transport,transport,2014-09-25T12:56:42-07:00,2014-09-25T13:03:05-07:00,383,1.709,0,0
9/25/14,walking,walking,2014-09-25T14:14:51-07:00,2014-09-25T14:29:24-07:00,873,0.456,574,0
9/25/14,walking,walking,2014-09-25T15:09:43-07:00,2014-09-25T15:12:22-07:00,159,0.119,97,0
9/25/14,walking,walking,2014-09-25T15:12:26-07:00,2014-09-25T15:24:16-07:00,710,0.295,502,0
9/25/14,walking,walking,2014-09-25T16:43:44-07:00,2014-09-25T16:49:24-07:00,340,0.207,445,0
9/25/14,walking,walking,2014-09-25T16:51:28-07:00,2014-09-25T16:57:37-07:00,369,0.267,473,0
9/25/14,walking,walking,2014-09-25T17:23:56-07:00,2014-09-25T17:40:40-07:00,1004,0.593,1398,0
9/25/14,walking,walking,2014-09-25T17:41:16-07:00,2014-09-25T17:41:51-07:00,35,0.017,56,0
9/25/14,walking,walking,2014-09-25T17:45:58-07:00,2014-09-25T18:02:16-07:00,978,0.695,1568,0
9/25/14,walking,walking,2014-09-25T18:03:27-07:00,2014-09-25T18:07:44-07:00,257,0.137,294,0
9/25/14,walking,walking,2014-09-25T18:09:38-07:00,2014-09-25T18:18:59-07:00,561,0.549,790,0
9/25/14,walking,walking,2014-09-25T18:26:36-07:00,2014-09-25T18:27:06-07:00,30,0.012,40,0
9/25/14,walking,walking,2014-09-25T18:30:37-07:00,2014-09-25T18:32:48-07:00,131,0.123,264,0
9/25/14,transport,transport,2014-09-25T18:51:57-07:00,2014-09-25T18:54:44-07:00,167,0.967,0,0
