Date,Name,Start,End,Duration,Latitude,Longitude,Category,Link
9/22/14,Place in Rincon Heights,2014-09-22T00:00:00-07:00,2014-09-22T08:02:50-07:00,28970,32.2241951163,-110.9541187843,,
9/22/14,Place in El Presidio,2014-09-22T08:13:50-07:00,2014-09-22T10:52:48-07:00,9538,32.2280797559,-110.9762085471,,
9/22/14,Place in Rincon Heights,2014-09-22T11:02:41-07:00,2014-09-22T11:09:48-07:00,427,32.2241951163,-110.9541187843,,
9/22/14,Place in Rincon Heights,2014-09-22T11:20:59-07:00,2014-09-22T11:32:46-07:00,707,32.2296516871,-110.9544029164,,
9/22/14,Place in Rincon Heights,2014-09-22T11:39:57-07:00,2014-09-22T13:02:23-07:00,4946,32.2317627041,-110.9543320791,,
9/22/14,Place in Rincon Heights,2014-09-22T13:02:23-07:00,2014-09-22T13:51:21-07:00,2938,32.2296516871,-110.9544029164,,
9/22/14,Place in West University,2014-09-22T14:00:40-07:00,2014-09-22T14:42:12-07:00,2492,32.2322783431,-110.9570376611,,
9/22/14,Place in Rincon Heights,2014-09-22T14:42:12-07:00,2014-09-22T16:08:49-07:00,5197,32.2303954275,-110.9514267373,,
9/22/14,Place in Rincon Heights,2014-09-22T16:27:15-07:00,2014-09-22T17:10:35-07:00,2600,32.2241951163,-110.9541187843,,
9/22/14,Place in Pima County,2014-09-22T17:29:27-07:00,2014-09-22T18:01:26-07:00,1919,32.256861007,-110.9440906985,,
9/22/14,Place in Rincon Heights,2014-09-22T18:26:27-07:00,2014-09-22T18:41:50-07:00,923,32.2241951163,-110.9541187843,,
9/22/14,Place in Rincon Heights,2014-09-22T18:43:25-07:00,2014-09-22T21:34:13-07:00,10248,32.2233746554,-110.9561566715,,
9/22/14,Place in Rincon Heights,2014-09-22T21:34:51-07:00,2014-09-23T00:00:00-07:00,8709,32.2241951163,-110.9541187843,,
