Date,Type,Name,Start,End,Duration
9/20/14,place,Place in Rincon Heights,2014-09-20T00:00:00-07:00,2014-09-20T15:41:49-07:00,56509
9/20/14,move,transport,2014-09-20T15:41:49-07:00,2014-09-20T15:44:02-07:00,133
9/20/14,move,walking,2014-09-20T15:44:02-07:00,2014-09-20T15:46:40-07:00,158
9/20/14,place,Place in Rincon Heights,2014-09-20T15:46:40-07:00,2014-09-20T15:56:40-07:00,600
9/20/14,move,transport,2014-09-20T15:56:40-07:00,2014-09-20T15:59:10-07:00,150
9/20/14,place,Place in Rincon Heights,2014-09-20T15:59:10-07:00,2014-09-20T17:07:36-07:00,4106
9/20/14,move,walking,2014-09-20T17:07:36-07:00,2014-09-20T17:09:42-07:00,126
9/20/14,move,transport,2014-09-20T17:09:42-07:00,2014-09-20T18:10:55-07:00,3673
9/20/14,place,Place in Coronado National Forest,2014-09-20T18:10:55-07:00,2014-09-20T19:30:51-07:00,4796
9/20/14,move,transport,2014-09-20T19:30:51-07:00,2014-09-20T19:58:32-07:00,1661
9/20/14,place,Place in Pima County,2014-09-20T19:58:32-07:00,2014-09-20T20:02:42-07:00,250
9/20/14,move,transport,2014-09-20T20:02:42-07:00,2014-09-20T20:05:59-07:00,197
9/20/14,place,Place in Pima County,2014-09-20T20:06:00-07:00,2014-09-20T20:10:04-07:00,244
9/20/14,move,transport,2014-09-20T20:10:04-07:00,2014-09-20T21:01:24-07:00,3080
9/20/14,place,Place in Rincon Heights,2014-09-20T21:01:24-07:00,2014-09-20T21:47:46-07:00,2782
9/20/14,move,transport,2014-09-20T21:47:46-07:00,2014-09-20T21:51:56-07:00,250
9/20/14,place,Place in Pima County,2014-09-20T21:51:56-07:00,2014-09-20T22:39:54-07:00,2878
9/20/14,move,transport,2014-09-20T22:39:54-07:00,2014-09-20T23:07:50-07:00,1676
9/20/14,place,Place in Rincon Heights,2014-09-20T23:07:50-07:00,2014-09-21T00:00:00-07:00,3130
