Date,Name,Start,End,Duration,Latitude,Longitude,Category,Link
9/11/14,Place in El Presidio,2014-09-11T11:57:45-07:00,2014-09-11T12:16:13-07:00,1108,32.2280797559,-110.9762085471,,
9/11/14,Place in El Rio,2014-09-11T12:24:21-07:00,2014-09-11T12:34:21-07:00,600,32.2296763141,-110.9835973564,,
9/11/14,Place in Pima County,2014-09-11T12:43:27-07:00,2014-09-11T12:47:35-07:00,248,32.2871936944,-110.9839160901,,
9/11/14,Place in Rincon Heights,2014-09-11T13:28:54-07:00,2014-09-11T15:05:45-07:00,5811,32.2241951163,-110.9541187843,,
9/11/14,Place in Rincon Heights,2014-09-11T15:15:58-07:00,2014-09-11T16:46:24-07:00,5426,32.2296516871,-110.9544029164,,
9/11/14,Place in West University,2014-09-11T16:55:07-07:00,2014-09-11T17:06:04-07:00,657,32.2297649071,-110.9565262031,,
9/11/14,Place in West University,2014-09-11T17:06:05-07:00,2014-09-11T17:35:59-07:00,1794,32.2315687554,-110.9586272862,,
9/11/14,Place in West University,2014-09-11T17:36:00-07:00,2014-09-11T18:57:22-07:00,4882,32.2317676748,-110.9570847414,,
9/11/14,Place in Rincon Heights,2014-09-11T19:07:30-07:00,2014-09-11T19:10:52-07:00,202,32.2275923133,-110.9561643409,,
9/11/14,Place in Rincon Heights,2014-09-11T19:21:22-07:00,2014-09-12T00:00:00-07:00,16718,32.2241951163,-110.9541187843,,
9/12/14,Place in Rincon Heights,2014-09-12T00:00:00-07:00,2014-09-12T08:47:32-07:00,31652,32.2241951163,-110.9541187843,,
9/12/14,Place in El Presidio,2014-09-12T08:57:38-07:00,2014-09-12T11:05:59-07:00,7701,32.2280797559,-110.9762085471,,
9/12/14,Place in Rincon Heights,2014-09-12T11:15:07-07:00,2014-09-12T11:39:35-07:00,1468,32.2241951163,-110.9541187843,,
9/12/14,Place in Rincon Heights,2014-09-12T11:53:01-07:00,2014-09-12T12:49:54-07:00,3413,32.2278013894,-110.9549290537,,
9/12/14,Place in Rincon Heights,2014-09-12T13:06:01-07:00,2014-09-12T13:18:42-07:00,761,32.2241951163,-110.9541187843,,
9/12/14,Place in Kachina Village,2014-09-12T18:26:06-07:00,2014-09-12T18:44:01-07:00,1075,35.0916765295,-111.6999361503,,
9/12/14,Place in Flagstaff,2014-09-12T19:09:35-07:00,2014-09-12T20:12:02-07:00,3747,35.1967282127,-111.6525120864,,
9/12/14,Place in Flagstaff,2014-09-12T20:12:32-07:00,2014-09-12T21:39:28-07:00,5216,35.1959867766,-111.6484911338,,
9/12/14,Place in Kachina Village,2014-09-12T21:48:17-07:00,2014-09-12T21:59:45-07:00,688,35.0916765295,-111.6999361503,,
9/13/14,Place in Fort Tuthill,2014-09-13T11:06:15-07:00,2014-09-13T17:25:16-07:00,22741,35.1378607437,-111.6924324721,,
9/13/14,Place in Kachina Village,2014-09-13T17:49:18-07:00,2014-09-13T20:16:24-07:00,8826,35.0916765295,-111.6999361503,,
9/13/14,Place in Downtown Flagstaff,2014-09-13T20:36:02-07:00,2014-09-13T20:38:40-07:00,158,35.1993103247,-111.6460783374,,
9/13/14,Place in Downtown Flagstaff,2014-09-13T20:42:10-07:00,2014-09-13T23:38:56-07:00,10606,35.1976058633,-111.6484277581,,
9/13/14,Place in Kachina Village,2014-09-13T23:55:26-07:00,2014-09-14T00:00:00-07:00,274,35.0911273269,-111.6993766135,,
9/14/14,Place in Kachina Village,2014-09-14T00:00:00-07:00,2014-09-14T10:12:39-07:00,36759,35.0911273269,-111.6993766135,,
