Date,Name,Start,End,Duration,Latitude,Longitude,Category,Link
10/1/14,Place in Rincon Heights,2014-10-01T00:00:00-07:00,2014-10-01T08:42:59-07:00,31379,32.2241951163,-110.9541187843,,
10/1/14,Place in El Presidio,2014-10-01T08:52:45-07:00,2014-10-01T09:22:08-07:00,1763,32.2280797559,-110.9762085471,,
10/1/14,Place in Pima County,2014-10-01T09:35:23-07:00,2014-10-01T09:57:49-07:00,1346,32.25021156,-110.9463745117,,
10/1/14,Place in Pima County,2014-10-01T09:57:50-07:00,2014-10-01T10:33:41-07:00,2151,32.2512774563,-110.9436943578,,
10/1/14,Place in Pima County,2014-10-01T10:33:41-07:00,2014-10-01T11:02:55-07:00,1754,32.2523746015,-110.943709965,,
10/1/14,Place in Rincon Heights,2014-10-01T11:09:36-07:00,2014-10-01T11:21:20-07:00,704,32.2241951163,-110.9541187843,,
10/1/14,Place in Rincon Heights,2014-10-01T11:33:59-07:00,2014-10-01T11:38:17-07:00,258,32.2327274802,-110.9540684723,,
10/1/14,Place in West University,2014-10-01T11:42:21-07:00,2014-10-01T11:52:21-07:00,600,32.2323350298,-110.9564564924,,
10/1/14,Place in Rincon Heights,2014-10-01T11:56:31-07:00,2014-10-01T12:51:26-07:00,3295,32.2327274802,-110.9540684723,,
10/1/14,Place in Rincon Heights,2014-10-01T13:06:27-07:00,2014-10-01T14:32:18-07:00,5151,32.2241951163,-110.9541187843,,
10/1/14,Place in Rincon Heights,2014-10-01T14:51:22-07:00,2014-10-01T16:03:20-07:00,4318,32.2296516871,-110.9544029164,,
10/1/14,Place in Rincon Heights,2014-10-01T16:18:47-07:00,2014-10-02T00:00:00-07:00,27673,32.2241951163,-110.9541187843,,
10/2/14,Place in Rincon Heights,2014-10-02T00:00:00-07:00,2014-10-02T08:00:18-07:00,28818,32.2241951163,-110.9541187843,,
10/2/14,Place in El Presidio,2014-10-02T08:10:40-07:00,2014-10-02T11:40:34-07:00,12594,32.2280797559,-110.9762085471,,
10/2/14,Place in Rincon Heights,2014-10-02T11:55:26-07:00,2014-10-02T12:21:04-07:00,1538,32.2240329325,-110.9546235461,,
10/2/14,Place in El Presidio,2014-10-02T12:25:32-07:00,2014-10-02T14:49:10-07:00,8618,32.2280797559,-110.9762085471,,
10/2/14,Place in Rincon Heights,2014-10-02T15:10:07-07:00,2014-10-02T18:47:22-07:00,13035,32.2296516871,-110.9544029164,,
10/2/14,Place in Rincon Heights,2014-10-02T18:58:01-07:00,2014-10-02T19:10:59-07:00,778,32.2259008161,-110.9549048343,,
10/2/14,Place in Rincon Heights,2014-10-02T19:11:00-07:00,2014-10-02T20:01:17-07:00,3017,32.2240329325,-110.9546235461,,
10/2/14,Place in Iron Horse,2014-10-02T20:01:17-07:00,2014-10-02T23:06:59-07:00,11142,32.2217013226,-110.9662625214,,
10/2/14,Place in Rincon Heights,2014-10-02T23:07:28-07:00,2014-10-03T00:00:00-07:00,3152,32.2241951163,-110.9541187843,,
10/3/14,Place in Rincon Heights,2014-10-03T00:00:00-07:00,2014-10-03T07:45:03-07:00,27903,32.2241951163,-110.9541187843,,
10/3/14,Place in El Presidio,2014-10-03T07:53:56-07:00,2014-10-03T11:06:34-07:00,11558,32.2280797559,-110.9762085471,,
10/3/14,Place in Rincon Heights,2014-10-03T11:15:30-07:00,2014-10-03T11:36:23-07:00,1253,32.2241951163,-110.9541187843,,
