Date,Type,Name,Start,End,Duration
9/11/14,place,Place in El Presidio,2014-09-11T11:57:45-07:00,2014-09-11T12:16:13-07:00,1108
9/11/14,move,walking,2014-09-11T12:16:13-07:00,2014-09-11T12:19:10-07:00,177
9/11/14,move,transport,2014-09-11T12:19:09-07:00,2014-09-11T12:24:21-07:00,312
9/11/14,place,Place in El Rio,2014-09-11T12:24:21-07:00,2014-09-11T12:34:21-07:00,600
9/11/14,move,transport,2014-09-11T12:34:21-07:00,2014-09-11T12:43:27-07:00,546
9/11/14,place,Place in Pima County,2014-09-11T12:43:27-07:00,2014-09-11T12:47:35-07:00,248
9/11/14,move,transport,2014-09-11T12:47:35-07:00,2014-09-11T13:28:55-07:00,2480
9/11/14,place,Place in Rincon Heights,2014-09-11T13:28:54-07:00,2014-09-11T15:05:45-07:00,5811
9/11/14,move,walking,2014-09-11T15:05:45-07:00,2014-09-11T15:15:58-07:00,613
9/11/14,place,Place in Rincon Heights,2014-09-11T15:15:58-07:00,2014-09-11T16:46:24-07:00,5426
9/11/14,move,walking,2014-09-11T16:46:24-07:00,2014-09-11T16:55:08-07:00,524
9/11/14,place,Place in West University,2014-09-11T16:55:07-07:00,2014-09-11T17:06:04-07:00,657
9/11/14,place,Place in West University,2014-09-11T17:06:05-07:00,2014-09-11T17:35:59-07:00,1794
9/11/14,place,Place in West University,2014-09-11T17:36:00-07:00,2014-09-11T18:57:22-07:00,4882
9/11/14,move,transport,2014-09-11T18:57:22-07:00,2014-09-11T19:02:30-07:00,308
9/11/14,move,walking,2014-09-11T19:02:29-07:00,2014-09-11T19:07:30-07:00,301
9/11/14,place,Place in Rincon Heights,2014-09-11T19:07:30-07:00,2014-09-11T19:10:52-07:00,202
9/11/14,move,walking,2014-09-11T19:10:52-07:00,2014-09-11T19:21:21-07:00,629
9/11/14,place,Place in Rincon Heights,2014-09-11T19:21:22-07:00,2014-09-12T00:00:00-07:00,16718
9/12/14,place,Place in Rincon Heights,2014-09-12T00:00:00-07:00,2014-09-12T08:47:32-07:00,31652
9/12/14,move,transport,2014-09-12T08:47:32-07:00,2014-09-12T08:54:32-07:00,420
9/12/14,move,walking,2014-09-12T08:54:32-07:00,2014-09-12T08:57:37-07:00,185
9/12/14,place,Place in El Presidio,2014-09-12T08:57:38-07:00,2014-09-12T11:05:59-07:00,7701
9/12/14,move,transport,2014-09-12T11:05:59-07:00,2014-09-12T11:15:06-07:00,547
9/12/14,place,Place in Rincon Heights,2014-09-12T11:15:07-07:00,2014-09-12T11:39:35-07:00,1468
9/12/14,move,walking,2014-09-12T11:39:35-07:00,2014-09-12T11:53:01-07:00,806
9/12/14,place,Place in Rincon Heights,2014-09-12T11:53:01-07:00,2014-09-12T12:49:54-07:00,3413
9/12/14,move,walking,2014-09-12T12:49:54-07:00,2014-09-12T13:06:02-07:00,968
9/12/14,place,Place in Rincon Heights,2014-09-12T13:06:01-07:00,2014-09-12T13:18:42-07:00,761
9/12/14,move,transport,2014-09-12T13:18:42-07:00,2014-09-12T13:40:18-07:00,1296
9/12/14,move,walking,2014-09-12T13:40:19-07:00,2014-09-12T13:46:17-07:00,358
9/12/14,move,transport,2014-09-12T13:46:17-07:00,2014-09-12T14:54:43-07:00,4106
9/12/14,move,walking,2014-09-12T14:54:42-07:00,2014-09-12T14:57:11-07:00,149
9/12/14,move,transport,2014-09-12T14:57:11-07:00,2014-09-12T17:08:28-07:00,7877
9/12/14,move,walking,2014-09-12T17:08:27-07:00,2014-09-12T17:13:07-07:00,280
9/12/14,move,transport,2014-09-12T17:13:07-07:00,2014-09-12T18:26:07-07:00,4380
9/12/14,place,Place in Kachina Village,2014-09-12T18:26:06-07:00,2014-09-12T18:44:01-07:00,1075
9/12/14,move,transport,2014-09-12T18:44:01-07:00,2014-09-12T19:07:02-07:00,1381
9/12/14,move,walking,2014-09-12T19:07:02-07:00,2014-09-12T19:09:35-07:00,153
9/12/14,place,Place in Flagstaff,2014-09-12T19:09:35-07:00,2014-09-12T20:12:02-07:00,3747
9/12/14,move,transport,2014-09-12T20:12:02-07:00,2014-09-12T20:12:33-07:00,31
9/12/14,place,Place in Flagstaff,2014-09-12T20:12:32-07:00,2014-09-12T21:39:28-07:00,5216
9/12/14,move,transport,2014-09-12T21:39:28-07:00,2014-09-12T21:48:17-07:00,529
9/12/14,place,Place in Kachina Village,2014-09-12T21:48:17-07:00,2014-09-12T21:59:45-07:00,688
9/12/14,move,transport,2014-09-12T21:59:45-07:00,2014-09-13T00:00:00-07:00,7215
9/13/14,move,transport,2014-09-13T00:00:00-07:00,2014-09-13T10:56:12-07:00,39372
9/13/14,move,walking,2014-09-13T10:56:12-07:00,2014-09-13T11:06:15-07:00,603
9/13/14,place,Place in Fort Tuthill,2014-09-13T11:06:15-07:00,2014-09-13T17:25:16-07:00,22741
9/13/14,move,walking,2014-09-13T17:25:16-07:00,2014-09-13T17:32:49-07:00,453
9/13/14,move,transport,2014-09-13T17:32:49-07:00,2014-09-13T17:49:17-07:00,988
9/13/14,place,Place in Kachina Village,2014-09-13T17:49:18-07:00,2014-09-13T20:16:24-07:00,8826
9/13/14,move,transport,2014-09-13T20:16:24-07:00,2014-09-13T20:36:02-07:00,1178
9/13/14,place,Place in Downtown Flagstaff,2014-09-13T20:36:02-07:00,2014-09-13T20:38:40-07:00,158
9/13/14,move,walking,2014-09-13T20:38:40-07:00,2014-09-13T20:42:10-07:00,210
9/13/14,place,Place in Downtown Flagstaff,2014-09-13T20:42:10-07:00,2014-09-13T23:38:56-07:00,10606
9/13/14,move,transport,2014-09-13T23:38:56-07:00,2014-09-13T23:55:26-07:00,990
9/13/14,place,Place in Kachina Village,2014-09-13T23:55:26-07:00,2014-09-14T00:00:00-07:00,274
9/14/14,place,Place in Kachina Village,2014-09-14T00:00:00-07:00,2014-09-14T10:12:39-07:00,36759
9/14/14,move,transport,2014-09-14T10:12:39-07:00,2014-09-14T15:13:05-07:00,18026
9/14/14,place,Place in Rincon Heights,2014-09-14T15:13:05-07:00,2014-09-15T00:00:00-07:00,31615
9/15/14,place,Place in Rincon Heights,2014-09-15T00:00:00-07:00,2014-09-15T08:42:53-07:00,31373
9/15/14,move,transport,2014-09-15T08:42:53-07:00,2014-09-15T08:50:50-07:00,477
9/15/14,move,walking,2014-09-15T08:50:50-07:00,2014-09-15T08:52:58-07:00,128
9/15/14,place,Place in El Presidio,2014-09-15T08:52:58-07:00,2014-09-15T11:03:43-07:00,7845
9/15/14,move,transport,2014-09-15T11:03:43-07:00,2014-09-15T11:12:47-07:00,544
9/15/14,place,Place in Rincon Heights,2014-09-15T11:12:47-07:00,2014-09-15T11:41:13-07:00,1706
9/15/14,move,walking,2014-09-15T11:41:13-07:00,2014-09-15T11:54:39-07:00,806
9/15/14,place,Place in Rincon Heights,2014-09-15T11:54:39-07:00,2014-09-15T12:51:28-07:00,3409
9/15/14,move,walking,2014-09-15T12:51:28-07:00,2014-09-15T13:06:26-07:00,898
9/15/14,place,Place in West University,2014-09-15T13:06:25-07:00,2014-09-15T13:36:04-07:00,1779
9/15/14,move,walking,2014-09-15T13:36:04-07:00,2014-09-15T13:46:49-07:00,645
9/15/14,place,Place in West University,2014-09-15T13:46:49-07:00,2014-09-15T14:31:58-07:00,2709
9/15/14,move,walking,2014-09-15T14:31:58-07:00,2014-09-15T14:42:49-07:00,651
9/15/14,place,Place in Rincon Heights,2014-09-15T14:42:50-07:00,2014-09-15T15:59:27-07:00,4597
9/15/14,move,walking,2014-09-15T15:59:27-07:00,2014-09-15T16:07:57-07:00,510
9/15/14,place,Place in West University,2014-09-15T16:07:57-07:00,2014-09-15T16:24:24-07:00,987
9/15/14,move,walking,2014-09-15T16:24:24-07:00,2014-09-15T16:45:40-07:00,1276
9/15/14,place,Place in Rincon Heights,2014-09-15T16:45:40-07:00,2014-09-15T16:52:10-07:00,390
9/15/14,place,Place in Rincon Heights,2014-09-15T16:52:10-07:00,2014-09-16T00:00:00-07:00,25670
9/16/14,place,Place in Rincon Heights,2014-09-16T00:00:00-07:00,2014-09-16T10:36:34-07:00,38194
9/16/14,move,walking,2014-09-16T10:36:34-07:00,2014-09-16T10:48:43-07:00,729
9/16/14,move,walking,2014-09-16T10:48:44-07:00,2014-09-16T10:52:44-07:00,240
9/16/14,place,Place in Rincon Heights,2014-09-16T10:52:44-07:00,2014-09-16T13:45:08-07:00,10344
9/16/14,move,transport,2014-09-16T13:45:08-07:00,2014-09-16T13:49:27-07:00,259
9/16/14,place,Place in West University,2014-09-16T13:49:28-07:00,2014-09-16T15:04:24-07:00,4496
9/16/14,move,walking,2014-09-16T15:04:24-07:00,2014-09-16T15:13:14-07:00,530
9/16/14,place,Place in Rincon Heights,2014-09-16T15:13:14-07:00,2014-09-16T16:30:41-07:00,4647
9/16/14,move,walking,2014-09-16T16:30:41-07:00,2014-09-16T16:48:26-07:00,1065
9/16/14,move,transport,2014-09-16T16:48:26-07:00,2014-09-16T16:52:39-07:00,253
9/16/14,place,Place in Rincon Heights,2014-09-16T16:52:39-07:00,2014-09-16T17:24:49-07:00,1930
9/16/14,move,transport,2014-09-16T17:24:49-07:00,2014-09-16T17:26:43-07:00,114
9/16/14,place,Place in Rincon Heights,2014-09-16T17:26:43-07:00,2014-09-17T00:00:00-07:00,23597
9/17/14,place,Place in Rincon Heights,2014-09-17T00:00:00-07:00,2014-09-17T07:59:43-07:00,28783
9/17/14,move,transport,2014-09-17T07:59:43-07:00,2014-09-17T08:07:40-07:00,477
9/17/14,move,walking,2014-09-17T08:07:40-07:00,2014-09-17T08:10:07-07:00,147
9/17/14,place,Place in El Presidio,2014-09-17T08:10:06-07:00,2014-09-17T11:03:51-07:00,10425
9/17/14,move,transport,2014-09-17T11:03:51-07:00,2014-09-17T11:09:44-07:00,353
9/17/14,place,Place in Rincon Heights,2014-09-17T11:09:44-07:00,2014-09-17T11:37:52-07:00,1688
9/17/14,move,walking,2014-09-17T11:37:52-07:00,2014-09-17T11:51:51-07:00,839
9/17/14,place,Place in Rincon Heights,2014-09-17T11:51:51-07:00,2014-09-17T12:51:04-07:00,3553
9/17/14,move,walking,2014-09-17T12:51:04-07:00,2014-09-17T12:56:34-07:00,330
9/17/14,place,Place in West University,2014-09-17T12:56:35-07:00,2014-09-17T14:22:00-07:00,5125
9/17/14,move,walking,2014-09-17T14:22:00-07:00,2014-09-17T14:35:15-07:00,795
9/17/14,place,Place in Rincon Heights,2014-09-17T14:35:16-07:00,2014-09-17T15:26:23-07:00,3067
9/17/14,move,walking,2014-09-17T15:26:23-07:00,2014-09-17T15:37:35-07:00,672
9/17/14,place,Place in Rincon Heights,2014-09-17T15:37:35-07:00,2014-09-18T00:00:00-07:00,30145
9/18/14,place,Place in Rincon Heights,2014-09-18T00:00:00-07:00,2014-09-18T07:57:15-07:00,28635
9/18/14,move,transport,2014-09-18T07:57:15-07:00,2014-09-18T08:05:22-07:00,487
9/18/14,move,walking,2014-09-18T08:05:22-07:00,2014-09-18T08:09:16-07:00,234
9/18/14,place,Place in El Presidio,2014-09-18T08:09:16-07:00,2014-09-18T11:46:01-07:00,13005
9/18/14,move,walking,2014-09-18T11:46:01-07:00,2014-09-18T12:01:11-07:00,910
9/18/14,place,Place in Pie Allen,2014-09-18T12:01:10-07:00,2014-09-18T12:39:35-07:00,2305
