Date,Activity,Group,Duration,Distance,Steps,Calories
9/11/14,walking,walking,3104,1.888,4351,0
9/11/14,transport,transport,3646,10.951,0,0
9/12/14,walking,walking,4845,2.617,5812,0
9/12/14,transport,transport,27782,301.356,0,0
9/13/14,walking,walking,2890,1.560,3393,0
9/13/14,transport,transport,42528,27.836,0,0
9/14/14,walking,walking,739,0.398,1001,0
9/14/14,transport,transport,18026,298.394,0,0
9/15/14,walking,walking,5832,3.826,6771,0
9/15/14,transport,transport,1021,4.017,0,0
9/16/14,walking,walking,4050,2.372,4216,0
9/16/14,transport,transport,626,2.114,0,0
9/17/14,walking,walking,3251,2.259,3128,0
9/17/14,transport,transport,830,3.374,0,0
9/18/14,walking,walking,5155,3.039,7102,0
9/18/14,transport,transport,3800,8.050,0,0
9/19/14,walking,walking,3566,2.471,4917,0
9/19/14,transport,transport,1357,5.134,0,0
9/20/14,walking,walking,1026,0.509,1267,0
9/20/14,transport,transport,10820,118.366,0,0
9/21/14,walking,walking,531,0.212,660,0
9/21/14,transport,transport,1074,6.987,0,0
9/22/14,walking,walking,6605,4.076,8734,0
9/22/14,transport,transport,3069,9.084,0,0
9/23/14,walking,walking,6282,3.912,7920,0
9/23/14,transport,transport,2672,10.870,0,0
9/24/14,walking,walking,4464,2.674,5873,0
9/24/14,transport,transport,4388,14.194,0,0
9/25/14,walking,walking,5876,3.664,7119,0
9/25/14,transport,transport,835,4.297,0,0
9/26/14,walking,walking,8782,5.630,12009,0
9/26/14,transport,transport,4164,11.930,0,0
9/27/14,walking,walking,166,0.073,235,0
9/27/14,transport,transport,1680,8.077,0,0
9/28/14,walking,walking,809,0.388,1066,0
9/28/14,transport,transport,1283,6.370,0,0
9/29/14,walking,walking,7462,4.701,10171,0
9/29/14,transport,transport,4374,19.404,0,0
9/30/14,walking,walking,5699,3.050,6230,0
9/30/14,transport,transport,3316,16.119,0,0
