Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
9/29/14,walking,walking,2014-09-29T00:02:51-07:00,2014-09-29T00:03:21-07:00,30,0.009,30,0
9/29/14,walking,walking,2014-09-29T01:16:05-07:00,2014-09-29T01:16:35-07:00,30,0.009,30,0
9/29/14,walking,walking,2014-09-29T07:10:07-07:00,2014-09-29T07:11:01-07:00,54,0.025,80,0
9/29/14,walking,walking,2014-09-29T08:10:37-07:00,2014-09-29T08:11:58-07:00,81,0.040,129,0
9/29/14,transport,transport,2014-09-29T08:52:05-07:00,2014-09-29T08:57:35-07:00,330,1.804,0,0
9/29/14,walking,walking,2014-09-29T08:57:35-07:00,2014-09-29T09:00:27-07:00,172,0.094,237,0
9/29/14,walking,walking,2014-09-29T09:02:18-07:00,2014-09-29T09:04:49-07:00,151,0.113,242,0
9/29/14,walking,walking,2014-09-29T10:59:56-07:00,2014-09-29T11:02:36-07:00,160,0.104,223,0
9/29/14,transport,transport,2014-09-29T11:10:22-07:00,2014-09-29T11:12:56-07:00,154,1.502,0,0
9/29/14,walking,walking,2014-09-29T11:24:29-07:00,2014-09-29T11:37:06-07:00,757,0.619,1328,0
9/29/14,walking,walking,2014-09-29T11:38:09-07:00,2014-09-29T11:40:23-07:00,134,0.085,111,0
9/29/14,transport,transport,2014-09-29T11:40:23-07:00,2014-09-29T11:48:35-07:00,492,0.455,0,0
9/29/14,walking,walking,2014-09-29T11:48:35-07:00,2014-09-29T11:54:17-07:00,342,0.219,342,0
9/29/14,walking,walking,2014-09-29T12:49:24-07:00,2014-09-29T12:54:06-07:00,282,0.210,267,0
9/29/14,walking,walking,2014-09-29T13:00:29-07:00,2014-09-29T13:07:31-07:00,422,0.250,537,0
9/29/14,walking,walking,2014-09-29T13:47:04-07:00,2014-09-29T13:47:12-07:00,8,0.004,11,0
9/29/14,walking,walking,2014-09-29T13:48:34-07:00,2014-09-29T14:02:18-07:00,824,0.332,799,0
9/29/14,transport,transport,2014-09-29T14:12:19-07:00,2014-09-29T14:13:11-07:00,52,0.240,0,0
9/29/14,walking,walking,2014-09-29T14:27:10-07:00,2014-09-29T14:27:40-07:00,30,0.012,40,0
9/29/14,walking,walking,2014-09-29T14:37:00-07:00,2014-09-29T14:54:31-07:00,1051,0.685,1725,0
9/29/14,walking,walking,2014-09-29T14:57:15-07:00,2014-09-29T14:57:20-07:00,5,0.002,6,0
9/29/14,walking,walking,2014-09-29T15:55:28-07:00,2014-09-29T15:55:32-07:00,4,0.001,4,0
9/29/14,walking,walking,2014-09-29T15:55:32-07:00,2014-09-29T16:10:45-07:00,913,0.673,1068,0
9/29/14,walking,walking,2014-09-29T16:40:51-07:00,2014-09-29T16:41:21-07:00,30,0.016,50,0
9/29/14,transport,transport,2014-09-29T16:41:45-07:00,2014-09-29T16:49:15-07:00,450,1.921,0,0
9/29/14,walking,walking,2014-09-29T16:49:15-07:00,2014-09-29T16:52:29-07:00,194,0.098,314,0
9/29/14,walking,walking,2014-09-29T16:57:17-07:00,2014-09-29T16:57:29-07:00,12,0.004,14,0
9/29/14,walking,walking,2014-09-29T16:58:45-07:00,2014-09-29T17:08:27-07:00,582,0.386,816,0
9/29/14,walking,walking,2014-09-29T17:37:23-07:00,2014-09-29T17:37:53-07:00,30,0.009,30,0
9/29/14,walking,walking,2014-09-29T17:55:36-07:00,2014-09-29T18:05:52-07:00,616,0.401,960,0
9/29/14,transport,transport,2014-09-29T18:05:51-07:00,2014-09-29T18:30:39-07:00,1488,6.568,0,0
9/29/14,walking,walking,2014-09-29T18:30:48-07:00,2014-09-29T18:32:20-07:00,92,0.044,142,0
9/29/14,walking,walking,2014-09-29T19:31:10-07:00,2014-09-29T19:33:31-07:00,141,0.077,165,0
9/29/14,transport,transport,2014-09-29T19:56:23-07:00,2014-09-29T19:59:04-07:00,161,0.784,0,0
9/29/14,walking,walking,2014-09-29T20:00:18-07:00,2014-09-29T20:02:44-07:00,146,0.098,209,0
9/29/14,transport,transport,2014-09-29T20:24:44-07:00,2014-09-29T20:38:18-07:00,814,3.489,0,0
9/29/14,walking,walking,2014-09-29T20:39:11-07:00,2014-09-29T20:40:43-07:00,92,0.045,144,0
9/29/14,walking,walking,2014-09-29T21:00:00-07:00,2014-09-29T21:00:17-07:00,17,0.009,28,0
9/29/14,transport,transport,2014-09-29T21:02:15-07:00,2014-09-29T21:09:28-07:00,433,2.641,0,0
9/29/14,walking,walking,2014-09-29T22:32:27-07:00,2014-09-29T22:32:57-07:00,30,0.009,30,0
9/29/14,walking,walking,2014-09-29T23:02:43-07:00,2014-09-29T23:03:13-07:00,30,0.019,60,0
9/30/14,walking,walking,2014-09-30T00:19:53-07:00,2014-09-30T00:21:23-07:00,90,0.040,131,0
9/30/14,walking,walking,2014-09-30T06:30:43-07:00,2014-09-30T06:31:03-07:00,20,0.010,31,0
9/30/14,walking,walking,2014-09-30T07:15:30-07:00,2014-09-30T07:15:47-07:00,17,0.007,22,0
9/30/14,walking,walking,2014-09-30T08:00:35-07:00,2014-09-30T08:00:44-07:00,9,0.004,12,0
9/30/14,transport,transport,2014-09-30T08:12:34-07:00,2014-09-30T08:16:26-07:00,232,1.377,0,0
9/30/14,walking,walking,2014-09-30T08:16:26-07:00,2014-09-30T08:19:04-07:00,158,0.132,287,0
9/30/14,walking,walking,2014-09-30T08:25:07-07:00,2014-09-30T08:25:37-07:00,30,0.011,34,0
9/30/14,walking,walking,2014-09-30T09:55:54-07:00,2014-09-30T09:59:10-07:00,196,0.133,285,0
9/30/14,transport,transport,2014-09-30T10:01:11-07:00,2014-09-30T10:06:35-07:00,324,1.814,0,0
9/30/14,walking,walking,2014-09-30T10:13:58-07:00,2014-09-30T10:30:59-07:00,1021,0.318,887,0
9/30/14,transport,transport,2014-09-30T10:30:59-07:00,2014-09-30T10:33:22-07:00,143,0.508,0,0
9/30/14,walking,walking,2014-09-30T10:33:23-07:00,2014-09-30T10:37:02-07:00,219,0.142,304,0
9/30/14,walking,walking,2014-09-30T13:02:36-07:00,2014-09-30T13:02:44-07:00,8,0.003,10,0
9/30/14,walking,walking,2014-09-30T13:02:44-07:00,2014-09-30T13:19:05-07:00,981,0.728,922,0
9/30/14,walking,walking,2014-09-30T13:23:11-07:00,2014-09-30T13:26:08-07:00,177,0.110,236,0
9/30/14,transport,transport,2014-09-30T13:32:31-07:00,2014-09-30T13:35:33-07:00,182,0.895,0,0
9/30/14,walking,walking,2014-09-30T13:35:33-07:00,2014-09-30T13:37:44-07:00,131,0.094,166,0
9/30/14,walking,walking,2014-09-30T13:38:57-07:00,2014-09-30T13:41:57-07:00,180,0.127,271,0
9/30/14,walking,walking,2014-09-30T14:00:38-07:00,2014-09-30T14:00:52-07:00,14,0.006,18,0
9/30/14,transport,transport,2014-09-30T14:01:12-07:00,2014-09-30T14:06:48-07:00,336,0.942,0,0
9/30/14,walking,walking,2014-09-30T14:07:07-07:00,2014-09-30T14:08:31-07:00,84,0.031,100,0
9/30/14,walking,walking,2014-09-30T14:58:31-07:00,2014-09-30T15:11:36-07:00,785,0.543,840,0
9/30/14,walking,walking,2014-09-30T15:18:53-07:00,2014-09-30T15:20:58-07:00,125,0.062,133,0
9/30/14,walking,walking,2014-09-30T16:46:45-07:00,2014-09-30T16:59:59-07:00,794,0.247,714,0
9/30/14,walking,walking,2014-09-30T17:09:54-07:00,2014-09-30T17:11:24-07:00,90,0.028,81,0
9/30/14,transport,transport,2014-09-30T17:19:03-07:00,2014-09-30T17:39:29-07:00,1226,2.682,0,0
9/30/14,walking,walking,2014-09-30T18:02:33-07:00,2014-09-30T18:04:07-07:00,94,0.049,158,0
9/30/14,walking,walking,2014-09-30T20:43:43-07:00,2014-09-30T20:47:10-07:00,207,0.120,257,0
9/30/14,walking,walking,2014-09-30T21:02:30-07:00,2014-09-30T21:03:14-07:00,44,0.021,66,0
9/30/14,transport,transport,2014-09-30T21:08:29-07:00,2014-09-30T21:11:39-07:00,190,2.160,0,0
9/30/14,walking,walking,2014-09-30T21:12:16-07:00,2014-09-30T21:13:46-07:00,90,0.028,80,0
9/30/14,transport,transport,2014-09-30T21:53:46-07:00,2014-09-30T21:58:21-07:00,275,2.458,0,0
9/30/14,walking,walking,2014-09-30T21:58:24-07:00,2014-09-30T21:58:29-07:00,5,0.002,6,0
9/30/14,walking,walking,2014-09-30T22:03:54-07:00,2014-09-30T22:04:24-07:00,30,0.012,40,0
9/30/14,transport,transport,2014-09-30T22:13:18-07:00,2014-09-30T22:16:06-07:00,168,2.202,0,0
9/30/14,walking,walking,2014-09-30T22:16:23-07:00,2014-09-30T22:17:00-07:00,37,0.017,55,0
9/30/14,transport,transport,2014-09-30T22:20:20-07:00,2014-09-30T22:24:20-07:00,240,1.081,0,0
9/30/14,walking,walking,2014-09-30T23:51:25-07:00,2014-09-30T23:52:28-07:00,63,0.026,84,0
10/1/14,walking,walking,2014-10-01T06:50:30-07:00,2014-10-01T06:51:06-07:00,36,0.015,49,0
10/1/14,walking,walking,2014-10-01T07:33:03-07:00,2014-10-01T07:33:38-07:00,35,0.017,56,0
10/1/14,walking,walking,2014-10-01T08:15:35-07:00,2014-10-01T08:15:48-07:00,13,0.006,17,0
10/1/14,transport,transport,2014-10-01T08:42:59-07:00,2014-10-01T08:50:36-07:00,457,1.650,0,0
10/1/14,walking,walking,2014-10-01T08:50:35-07:00,2014-10-01T08:52:45-07:00,130,0.088,230,0
10/1/14,walking,walking,2014-10-01T08:57:18-07:00,2014-10-01T08:57:48-07:00,30,0.009,20,0
10/1/14,walking,walking,2014-10-01T09:22:08-07:00,2014-10-01T09:22:09-07:00,1,0.000,1,0
10/1/14,walking,walking,2014-10-01T09:22:08-07:00,2014-10-01T09:24:40-07:00,152,0.047,152,0
10/1/14,transport,transport,2014-10-01T09:24:40-07:00,2014-10-01T09:35:23-07:00,643,2.739,0,0
10/1/14,walking,walking,2014-10-01T09:35:35-07:00,2014-10-01T09:43:07-07:00,452,0.352,757,0
10/1/14,walking,walking,2014-10-01T10:26:42-07:00,2014-10-01T10:29:01-07:00,139,0.125,268,0
10/1/14,walking,walking,2014-10-01T10:54:16-07:00,2014-10-01T10:59:55-07:00,339,0.295,633,0
10/1/14,walking,walking,2014-10-01T11:00:00-07:00,2014-10-01T11:00:16-07:00,16,0.009,30,0
10/1/14,transport,transport,2014-10-01T11:02:55-07:00,2014-10-01T11:09:35-07:00,400,2.498,0,0
10/1/14,walking,walking,2014-10-01T11:10:10-07:00,2014-10-01T11:10:40-07:00,30,0.009,30,0
10/1/14,walking,walking,2014-10-01T11:21:20-07:00,2014-10-01T11:33:59-07:00,759,0.700,1244,0
10/1/14,walking,walking,2014-10-01T11:35:48-07:00,2014-10-01T11:36:18-07:00,30,0.019,60,0
10/1/14,walking,walking,2014-10-01T11:38:17-07:00,2014-10-01T11:42:20-07:00,243,0.194,468,0
10/1/14,walking,walking,2014-10-01T11:52:17-07:00,2014-10-01T11:52:21-07:00,4,0.001,4,0
10/1/14,walking,walking,2014-10-01T11:52:21-07:00,2014-10-01T11:56:32-07:00,251,0.173,251,0
10/1/14,walking,walking,2014-10-01T12:51:26-07:00,2014-10-01T13:06:27-07:00,901,0.684,1104,0
10/1/14,walking,walking,2014-10-01T13:06:27-07:00,2014-10-01T13:07:11-07:00,44,0.014,32,0
10/1/14,walking,walking,2014-10-01T14:03:48-07:00,2014-10-01T14:04:18-07:00,30,0.012,40,0
10/1/14,walking,walking,2014-10-01T14:32:18-07:00,2014-10-01T14:51:22-07:00,1144,0.857,1435,0
10/1/14,walking,walking,2014-10-01T16:03:20-07:00,2014-10-01T16:18:47-07:00,927,0.869,1210,0
10/1/14,walking,walking,2014-10-01T16:18:52-07:00,2014-10-01T16:20:03-07:00,71,0.023,74,0
10/1/14,walking,walking,2014-10-01T19:48:09-07:00,2014-10-01T19:49:39-07:00,90,0.037,121,0
10/1/14,walking,walking,2014-10-01T23:16:59-07:00,2014-10-01T23:17:29-07:00,30,0.009,30,0
10/2/14,walking,walking,2014-10-02T06:31:24-07:00,2014-10-02T06:31:34-07:00,10,0.005,15,0
10/2/14,walking,walking,2014-10-02T07:00:59-07:00,2014-10-02T07:01:34-07:00,35,0.011,27,0
10/2/14,transport,transport,2014-10-02T08:00:18-07:00,2014-10-02T08:07:51-07:00,453,1.760,0,0
10/2/14,walking,walking,2014-10-02T08:07:52-07:00,2014-10-02T08:10:41-07:00,169,0.098,306,0
10/2/14,walking,walking,2014-10-02T08:33:47-07:00,2014-10-02T08:34:17-07:00,30,0.016,50,0
10/2/14,walking,walking,2014-10-02T09:31:18-07:00,2014-10-02T09:33:07-07:00,109,0.051,164,0
10/2/14,walking,walking,2014-10-02T10:00:32-07:00,2014-10-02T10:01:02-07:00,30,0.019,60,0
10/2/14,walking,walking,2014-10-02T11:11:54-07:00,2014-10-02T11:12:54-07:00,60,0.025,80,0
10/2/14,walking,walking,2014-10-02T11:40:34-07:00,2014-10-02T11:44:05-07:00,211,0.128,412,0
10/2/14,transport,transport,2014-10-02T11:44:05-07:00,2014-10-02T11:55:26-07:00,681,1.575,0,0
10/2/14,walking,walking,2014-10-02T12:13:15-07:00,2014-10-02T12:15:21-07:00,126,0.059,74,0
10/2/14,walking,walking,2014-10-02T12:21:04-07:00,2014-10-02T12:25:32-07:00,268,0.200,268,0
10/2/14,walking,walking,2014-10-02T13:56:21-07:00,2014-10-02T13:56:46-07:00,25,0.013,41,0
10/2/14,walking,walking,2014-10-02T14:03:27-07:00,2014-10-02T14:07:56-07:00,269,0.177,380,0
10/2/14,walking,walking,2014-10-02T14:49:10-07:00,2014-10-02T15:02:46-07:00,816,0.421,1355,0
10/2/14,transport,transport,2014-10-02T15:02:45-07:00,2014-10-02T15:05:59-07:00,194,1.159,0,0
10/2/14,transport,transport,2014-10-02T15:05:59-07:00,2014-10-02T15:10:07-07:00,248,0.335,0,0
10/2/14,walking,walking,2014-10-02T15:10:07-07:00,2014-10-02T15:10:36-07:00,29,0.015,48,0
10/2/14,walking,walking,2014-10-02T16:47:49-07:00,2014-10-02T16:50:29-07:00,160,0.095,203,0
