Date,Activity,Group,Duration,Distance,Steps,Calories
9/15/14,walking,walking,5832,3.826,6771,0
9/15/14,transport,transport,1021,4.017,0,0
9/16/14,walking,walking,4050,2.372,4216,0
9/16/14,transport,transport,626,2.114,0,0
9/17/14,walking,walking,3251,2.259,3128,0
9/17/14,transport,transport,830,3.374,0,0
9/18/14,walking,walking,5155,3.039,7102,0
9/18/14,transport,transport,3800,8.050,0,0
9/19/14,walking,walking,3566,2.471,4917,0
9/19/14,transport,transport,1357,5.134,0,0
9/20/14,walking,walking,1026,0.509,1267,0
9/20/14,transport,transport,10820,118.366,0,0
9/21/14,walking,walking,531,0.212,660,0
9/21/14,transport,transport,1074,6.987,0,0
